Raman_Shift,Feature Importance
800.338,0.093814821
801.221,0.023117219
802.103,0.164512422
802.985,0.05846602
803.867,0.05846602
804.749,0.129163621
805.631,0.05846602
806.512,0.199861223
807.393,0.093814821
808.274,0.270558825
809.155,0.199861223
810.036,-0.012231582
810.916,0.05846602
811.797,0.093814821
812.677,0.164512422
813.556,-0.012231582
814.436,-0.012231582
815.316,0.093814821
816.195,-0.082929184
817.074,-0.153626786
817.953,-0.188975587
818.832,0.199861223
819.71,-0.082929184
820.588,0.023117219
821.466,-0.118277985
822.344,-0.118277985
823.222,-0.012231582
824.1,-0.153626786
824.977,-0.365719592
825.854,-0.012231582
826.731,-0.153626786
827.608,-0.082929184
828.484,-0.188975587
829.361,0.05846602
830.237,-0.153626786
831.113,-0.012231582
831.989,-0.188975587
832.864,-0.012231582
833.74,-0.188975587
834.615,-0.082929184
835.49,-0.153626786
836.365,-0.153626786
837.239,-0.118277985
838.114,-0.153626786
838.988,-0.188975587
839.862,-0.047580383
840.736,0.235210024
841.609,-0.188975587
842.483,-0.188975587
843.356,-0.188975587
844.229,-0.153626786
845.102,-0.188975587
845.975,-0.188975587
846.847,-0.224324388
847.72,-0.224324388
848.592,-0.188975587
849.464,-0.29502199
850.335,-0.259673189
851.207,-0.153626786
852.078,-0.188975587
852.949,-0.29502199
853.82,-0.188975587
854.691,-0.188975587
855.562,-0.188975587
856.432,-0.188975587
857.302,-0.188975587
858.172,-0.188975587
859.042,-0.188975587
859.912,-0.188975587
860.781,-0.29502199
861.65,-0.188975587
862.519,-0.188975587
863.388,-0.188975587
864.257,-0.224324388
865.125,-0.188975587
865.994,-0.224324388
866.862,-0.188975587
867.73,-0.224324388
868.597,-0.188975587
869.465,-0.118277985
870.332,-0.188975587
871.199,-0.082929184
872.066,-0.153626786
872.933,-0.082929184
873.8,-0.118277985
874.666,-0.047580383
875.532,-0.330370791
876.398,-0.082929184
877.264,-0.082929184
878.13,0.093814821
878.995,-0.330370791
879.86,0.129163621
880.725,-0.436417194
881.59,0.05846602
882.455,-0.401068393
883.319,0.199861223
884.184,-0.365719592
885.048,0.05846602
885.912,-0.895951607
886.775,0.164512422
887.639,-0.330370791
888.502,0.553349233
889.365,-0.153626786
890.228,0.305907626
891.091,-0.153626786
891.954,0.305907626
892.816,-0.188975587
893.678,0.235210024
894.54,-0.259673189
895.402,0.305907626
896.264,-0.507114796
897.125,0.05846602
897.986,-0.082929184
898.847,0.05846602
899.708,-0.188975587
900.569,0.482651631
901.429,-0.29502199
902.29,0.093814821
903.15,0.023117219
904.01,0.553349233
904.87,-0.259673189
905.729,0.376605228
906.588,-0.542463597
907.448,-0.047580383
908.307,0.765442039
909.165,0.518000432
910.024,0.164512422
910.882,0.05846602
911.741,-0.401068393
912.599,0.093814821
913.457,-0.047580383
914.314,0.093814821
915.172,-0.047580383
916.029,-0.047580383
916.886,-0.047580383
917.743,0.164512422
918.6,-0.012231582
919.456,0.093814821
920.313,-0.047580383
921.169,0.129163621
922.025,-0.082929184
922.881,-0.012231582
923.736,-0.29502199
924.592,-0.118277985
925.447,-0.118277985
926.302,-0.118277985
927.157,-0.188975587
928.012,-0.330370791
928.866,-0.153626786
929.721,-0.188975587
930.575,-0.188975587
931.429,-0.118277985
932.282,-0.188975587
933.136,-0.188975587
933.989,-0.188975587
934.843,-0.188975587
935.696,-0.188975587
936.548,-0.188975587
937.401,-0.153626786
938.253,-0.153626786
939.106,-0.047580383
939.958,-0.188975587
940.81,-0.188975587
941.661,-0.153626786
942.513,-0.188975587
943.364,-0.188975587
944.215,-0.188975587
945.066,-0.224324388
945.917,-0.188975587
946.768,-0.188975587
947.618,-0.188975587
948.468,-0.188975587
949.319,-0.188975587
950.168,-0.188975587
951.018,-0.188975587
951.868,-0.224324388
952.717,-0.188975587
953.566,-0.188975587
954.415,-0.082929184
955.264,-0.224324388
956.112,-0.153626786
956.961,-0.047580383
957.809,-0.188975587
958.657,-0.047580383
959.505,-0.012231582
960.352,-0.012231582
961.2,-0.188975587
962.047,-0.188975587
962.894,-0.153626786
963.741,-0.29502199
964.588,-0.29502199
965.434,-0.082929184
966.281,0.305907626
967.127,-0.29502199
967.973,-0.401068393
968.819,-0.188975587
969.664,-0.436417194
970.51,-0.29502199
971.355,-0.719207602
972.2,-0.789905204
973.045,-0.436417194
973.89,-0.118277985
974.734,-0.224324388
975.579,-0.542463597
976.423,-0.188975587
977.267,0.023117219
978.11,0.341256427
978.954,0.305907626
979.797,0.199861223
980.641,-0.118277985
981.484,0.129163621
982.327,0.624046835
983.169,-0.082929184
984.012,-0.012231582
984.854,-0.153626786
985.696,0.235210024
986.538,0.093814821
987.38,-0.153626786
988.222,0.129163621
989.063,-0.012231582
989.904,-0.188975587
990.745,-0.153626786
991.586,0.765442039
992.427,0.588698034
993.268,1.578464462
